,ID,Date,month,year,price,rate,total_house_sold,period,change_in_house_sold,change_in_house_price
0,1,1990-01-01 00:00:00.000000,1,1990,194952.0,10.05,620000,1/1990,,
1,2,1990-02-01 00:00:00.000000,2,1990,196273.0,10.31,591000,2/1990,-29000.0,1321.0
2,3,1990-03-01 00:00:00.000000,3,1990,194856.0,10.34,574000,3/1990,-17000.0,-1417.0
3,4,1990-04-01 00:00:00.000000,4,1990,196111.0,10.56,542000,4/1990,-32000.0,1255.0
4,5,1990-05-01 00:00:00.000000,5,1990,195281.0,10.67,534000,5/1990,-8000.0,-830.0
5,6,1990-06-01 00:00:00.000000,6,1990,194410.0,10.29,545000,6/1990,11000.0,-871.0
6,7,1990-07-01 00:00:00.000000,7,1990,193088.0,10.11,542000,7/1990,-3000.0,-1322.0
7,8,1990-08-01 00:00:00.000000,8,1990,192180.0,10.29,528000,8/1990,-14000.0,-908.0
8,9,1990-09-01 00:00:00.000000,9,1990,189979.0,10.22,496000,9/1990,-32000.0,-2201.0
9,10,1990-10-01 00:00:00.000000,10,1990,187630.0,10.24,465000,10/1990,-31000.0,-2349.0
10,11,1990-11-01 00:00:00.000000,11,1990,192020.0,10.13,493000,11/1990,28000.0,4390.0
11,12,1990-12-01 00:00:00.000000,12,1990,190375.0,9.81,464000,12/1990,-29000.0,-1645.0
12,13,1991-01-01 00:00:00.000000,1,1991,192054.0,9.75,401000,1/1991,-63000.0,1679.0
13,14,1991-02-01 00:00:00.000000,2,1991,194806.0,9.56,482000,2/1991,81000.0,2752.0
14,15,1991-03-01 00:00:00.000000,3,1991,202666.0,9.59,507000,3/1991,25000.0,7860.0
15,16,1991-04-01 00:00:00.000000,4,1991,207718.0,9.53,508000,4/1991,1000.0,5052.0
16,17,1991-05-01 00:00:00.000000,5,1991,211001.0,9.5,517000,5/1991,9000.0,3283.0
17,18,1991-06-01 00:00:00.000000,6,1991,206722.0,9.67,516000,6/1991,-1000.0,-4279.0
18,19,1991-07-01 00:00:00.000000,7,1991,206069.0,9.64,511000,7/1991,-5000.0,-653.0
19,20,1991-08-01 00:00:00.000000,8,1991,200340.0,9.44,526000,8/1991,15000.0,-5729.0
20,21,1991-09-01 00:00:00.000000,9,1991,197801.0,9.14,487000,9/1991,-39000.0,-2539.0
21,22,1991-10-01 00:00:00.000000,10,1991,196021.0,8.91,524000,10/1991,37000.0,-1780.0
22,23,1991-11-01 00:00:00.000000,11,1991,194192.0,8.78,575000,11/1991,51000.0,-1829.0
23,24,1991-12-01 00:00:00.000000,12,1991,199452.0,8.62,558000,12/1991,-17000.0,5260.0
24,25,1992-01-01 00:00:00.000000,1,1992,196410.0,8.68,676000,1/1992,118000.0,-3042.0
25,26,1992-02-01 00:00:00.000000,2,1992,198220.0,8.83,639000,2/1992,-37000.0,1810.0
26,27,1992-03-01 00:00:00.000000,3,1992,200500.0,9.03,553000,3/1992,-86000.0,2280.0
27,28,1992-04-01 00:00:00.000000,4,1992,198700.0,8.96,546000,4/1992,-7000.0,-1800.0
28,29,1992-05-01 00:00:00.000000,5,1992,203420.0,8.84,554000,5/1992,8000.0,4720.0
29,30,1992-06-01 00:00:00.000000,6,1992,199460.0,8.59,596000,6/1992,42000.0,-3960.0
30,31,1992-07-01 00:00:00.000000,7,1992,199150.0,8.29,627000,7/1992,31000.0,-310.0
31,32,1992-08-01 00:00:00.000000,8,1992,194670.0,8.06,636000,8/1992,9000.0,-4480.0
32,33,1992-09-01 00:00:00.000000,9,1992,195840.0,8.02,650000,9/1992,14000.0,1170.0
33,34,1992-10-01 00:00:00.000000,10,1992,194000.0,8.23,621000,10/1992,-29000.0,-1840.0
34,35,1992-11-01 00:00:00.000000,11,1992,189670.0,8.32,614000,11/1992,-7000.0,-4330.0
35,36,1992-12-01 00:00:00.000000,12,1992,193330.0,8.34,650000,12/1992,36000.0,3660.0
36,37,1993-01-01 00:00:00.000000,1,1993,191670.0,8.07,596000,1/1993,-54000.0,-1660.0
37,38,1993-02-01 00:00:00.000000,2,1993,187440.0,7.8,604000,2/1993,8000.0,-4230.0
38,39,1993-03-01 00:00:00.000000,3,1993,189130.0,7.57,602000,3/1993,-2000.0,1690.0
39,40,1993-04-01 00:00:00.000000,4,1993,192600.0,7.57,701000,4/1993,99000.0,3470.0
40,41,1993-05-01 00:00:00.000000,5,1993,188850.0,7.52,626000,5/1993,-75000.0,-3750.0
41,42,1993-06-01 00:00:00.000000,6,1993,188650.0,7.48,653000,6/1993,27000.0,-200.0
42,43,1993-07-01 00:00:00.000000,7,1993,190540.0,7.25,655000,7/1993,2000.0,1890.0
43,44,1993-08-01 00:00:00.000000,8,1993,189010.0,7.21,645000,8/1993,-10000.0,-1530.0
44,45,1993-09-01 00:00:00.000000,9,1993,186740.0,6.96,726000,9/1993,81000.0,-2270.0
45,46,1993-10-01 00:00:00.000000,10,1993,185920.0,6.89,704000,10/1993,-22000.0,-820.0
46,47,1993-11-01 00:00:00.000000,11,1993,184700.0,7.31,769000,11/1993,65000.0,-1220.0
