,ID,Month,Year,house_sold
0,1,1,2020,764000
1,2,12,2019,708000
2,3,11,2019,692000
3,4,10,2019,707000
4,5,9,2019,725000
5,6,8,2019,708000
6,7,7,2019,660000
7,8,6,2019,729000
8,9,5,2019,598000
9,10,4,2019,656000
10,11,3,2019,693000
11,12,2,2019,669000
12,13,1,2019,644000
13,14,12,2018,564000
14,15,11,2018,615000
15,16,10,2018,557000
16,17,9,2018,607000
17,18,8,2018,604000
18,19,7,2018,609000
19,20,6,2018,618000
20,21,5,2018,650000
21,22,4,2018,629000
22,23,3,2018,654000
23,24,2,2018,644000
24,25,1,2018,628000
25,26,12,2017,656000
26,27,11,2017,715000
27,28,10,2017,631000
28,29,9,2017,642000
29,30,8,2017,565000
30,31,7,2017,559000
31,32,6,2017,624000
32,33,5,2017,604000
33,34,4,2017,586000
34,35,3,2017,643000
35,36,2,2017,618000
36,37,1,2017,596000
37,38,12,2016,546000
38,39,11,2016,568000
39,40,10,2016,573000
40,41,9,2016,566000
41,42,8,2016,572000
42,43,7,2016,632000
43,44,6,2016,560000
44,45,5,2016,558000
45,46,4,2016,566000
46,47,3,2016,533000
47,48,2,2016,525000
48,49,1,2016,520000
49,50,12,2015,536000
50,51,11,2015,508000
51,52,10,2015,482000
52,53,9,2015,461000
53,54,8,2015,513000
54,55,7,2015,498000
55,56,6,2015,476000
56,57,5,2015,504000
57,58,4,2015,500000
58,59,3,2015,481000
59,60,2,2015,549000
60,61,1,2015,523000
61,62,12,2014,492000
62,63,11,2014,446000
63,64,10,2014,474000
64,65,9,2014,466000
65,66,8,2014,449000
66,67,7,2014,402000
67,68,6,2014,416000
68,69,5,2014,452000
69,70,4,2014,401000
70,71,3,2014,410000
71,72,2,2014,423000
72,73,1,2014,447000
73,74,12,2013,441000
74,75,11,2013,446000
75,76,10,2013,444000
76,77,9,2013,399000
77,78,8,2013,380000
78,79,7,2013,376000
79,80,6,2013,463000
80,81,5,2013,430000
81,82,4,2013,451000
82,83,3,2013,449000
83,84,2,2013,439000
84,85,1,2013,442000
85,86,12,2012,399000
86,87,11,2012,392000
87,88,10,2012,358000
88,89,9,2012,385000
89,90,8,2012,375000
90,91,7,2012,369000
91,92,6,2012,360000
92,93,5,2012,370000
93,94,4,2012,354000
94,95,3,2012,354000
95,96,2,2012,366000
96,97,1,2012,335000
97,98,12,2011,341000
98,99,11,2011,328000
99,100,10,2011,316000
100,101,9,2011,304000
101,102,8,2011,299000
102,103,7,2011,296000
103,104,6,2011,301000
104,105,5,2011,305000
105,106,4,2011,310000
106,107,3,2011,300000
107,108,2,2011,270000
108,109,1,2011,307000
109,110,12,2010,326000
110,111,11,2010,287000
111,112,10,2010,291000
112,113,9,2010,317000
113,114,8,2010,282000
114,115,7,2010,283000
115,116,6,2010,305000
116,117,5,2010,280000
117,118,4,2010,422000
118,119,3,2010,381000
119,120,2,2010,336000
120,121,1,2010,345000
121,122,12,2009,352000
122,123,11,2009,375000
123,124,10,2009,396000
124,125,9,2009,386000
125,126,8,2009,418000
126,127,7,2009,411000
127,128,6,2009,393000
128,129,5,2009,376000
129,130,4,2009,337000
130,131,3,2009,339000
131,132,2,2009,372000
132,133,1,2009,336000
133,134,12,2008,377000
134,135,11,2008,389000
135,136,10,2008,393000
136,137,9,2008,433000
137,138,8,2008,435000
138,139,7,2008,477000
139,140,6,2008,487000
140,141,5,2008,504000
141,142,4,2008,536000
142,143,3,2008,535000
143,144,2,2008,593000
144,145,1,2008,627000
145,146,12,2007,619000
146,147,11,2007,641000
147,148,10,2007,727000
148,149,9,2007,686000
149,150,8,2007,699000
150,151,7,2007,778000
151,152,6,2007,793000
152,153,5,2007,842000
153,154,4,2007,887000
154,155,3,2007,833000
155,156,2,2007,828000
156,157,1,2007,891000
157,158,12,2006,998000
158,159,11,2006,1003000
159,160,10,2006,941000
